p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
UPF2	5.78990421607244e-09	1.30756425717646e-08	85	90.7	84	5.78990423115779e-10	30	1.37597087779707	1.47187304520975	1	61.2497962056758	107	139	41	137	85	81	80	30	124	83
PRPF6	1.44681752237255e-08	2.03441480245623e-08	65	90.8	84.5	1.44681753179231e-09	44	1.20864992459366	-1.14039777240165	-1	44.9809834056578	63	73	96	118	139	64	110	46	155	44
GEMIN5	1.14020406202808e-08	1.71465801694299e-08	60	91.8	61	1.14020406787837e-09	43	0.889655600186392	0.830162803814088	1	19.9397853564329	53	60	182	94	131	58	43	61	61	175
UTP18	5.77023940736708e-09	1.30756425717646e-08	60	92.4	84.5	5.77023942235013e-10	25	1.13767571195701	1.17584901119685	1	41.546055152266	57	142	86	112	83	46	45	25	181	147
SFPQ	5.37990543802861e-09	1.30756425717646e-08	140	93.2	86.5	5.37990545105313e-10	21	1.53749295655328	1.88742824565793	1	74.6054562040703	165	101	21	42	72	138	136	139	60	58
MSI2	5.23149290823083e-09	1.30756425717646e-08	175	94.3	93	5.23149292054666e-10	18	1.1523309191056	-1.12607321102985	-1	42.7578397292713	174	24	116	18	70	190	142	125	39	45
SART3	3.51463559965708e-09	1.30756425717646e-08	110	94.8	98	3.51463560521577e-10	26	1.4545968753712	1.45108375173139	1	67.7510875382347	109	148	49	144	26	102	76	73	127	94
FIP1L1	6.19121774287563e-09	1.30756425717646e-08	100	95.1	97.5	6.19121776012464e-10	48	1.12624179527926	1.13192946035835	1	40.6006271044485	100	100	125	67	91	95	90	106	48	129
CSTF2T	6.0914722135187e-09	1.30756425717646e-08	100	95.8	100.5	6.09147223021642e-10	3	1.21652893065981	-0.93470943312227	-1	48.0661345549293	98	47	103	36	88	139	145	192	3	107
RBM15	1.70268267725926e-08	2.31329991324189e-08	145	95.8	93.5	1.70268269030534e-09	40	1.06284894846861	1.1419687528455	1	32.5968637186717	120	40	141	66	145	90	55	97	64	140
U2AF1	4.70742020359909e-08	5.32966540292541e-08	65	96.1	88	4.70742030331821e-09	51	1.25824572049918	1.43908155699443	1	43.4621961891979	110	146	113	92	174	84	63	64	51	64
EIF4B	4.02263763686472e-09	1.30756425717646e-08	150	97.3	112	4.02263764414644e-10	13	1.04786316730764	-1.08936804405358	-1	34.1197898443637	89	13	155	35	39	149	183	146	29	135
CKAP4	2.33885181602675e-08	3.03127505103467e-08	85	97.6	92.5	2.33885184064277e-09	48	1.17514272152602	-1.05462172142864	-1	40.1432712219285	64	48	84	54	152	85	111	134	100	144
FTO	5.07903362964e-09	1.30756425717646e-08	65	97.9	94.5	5.07903364124845e-10	34	1.22222740793332	-1.20575678497966	-1	48.5373204482731	185	34	54	107	65	141	99	143	90	61
SERBP1	6.70375583628542e-09	1.30756425717646e-08	175	99.2	94	6.70375585650857e-10	12	1.48427002760665	1.79093249567065	1	70.2046501433531	173	140	50	27	101	196	170	87	12	36
TBRG4	5.94952581499417e-09	1.30756425717646e-08	130	99.5	102.5	5.94952583092274e-10	43	1.13631291430112	1.22715290144123	1	41.4333704822892	105	126	129	113	87	100	84	43	67	141
CNOT7	6.80276002118366e-09	1.31386639624822e-08	60	99.9	104.5	6.80276004200855e-10	56	1.18605756807969	1.29860104700642	1	45.5205942710586	128	107	122	56	102	115	118	96	56	99
CIRBP	3.55172356830468e-09	1.30756425717646e-08	115	100.4	111	3.55172357398131e-10	27	1.02622404241202	0.974745005310956	1	32.3305310817591	142	41	139	111	27	68	49	184	132	111
DDX24	5.8915080996719e-09	1.30756425717646e-08	195	100.7	75	5.89150811529134e-10	19	0.831954773348649	0.822472783674533	1	16.2671277023173	58	64	191	166	86	32	40	19	160	191
MATR3	1.21082881265075e-08	1.79348327888871e-08	65	101	91	1.21082881924823e-09	45	1.12662892906724	-0.903593137894576	-1	39.0109923574667	65	81	144	45	133	70	101	174	46	151
EIF2S2	2.92427041419426e-08	3.63772580553073e-08	160	101.5	96.5	2.92427045267536e-09	13	1.28030081376551	-1.46724657234209	-1	47.3720562289581	181	54	76	46	158	158	117	149	13	63
U2AF2	6.47338325001236e-09	1.30756425717646e-08	85	103.4	90	6.47338326886947e-10	38	1.03902289267214	-0.875619944109479	-1	33.3888204113717	84	97	159	61	94	80	86	189	38	146
