	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
MTPAP	2.9718551271851e-22	3.52684012081605e-22	75	111.6	113.0	2.97185512718511e-23	51	0.885138660603055	-0.71835851416827	-1	35.8332923330521
QKI	1.0579427152577301e-19	1.0687934097731999e-19	190	111.7	98.0	1.0579427152577401e-20	22	0.649595155438901	-0.647224984759586	-1	0.0
PES1	1.59225828263408e-22	2.23051734798035e-22	140	111.9	121.0	1.59225828263408e-23	61	0.893422122401028	-1.04381671713082	-1	37.7444472393348
HNRNPU	1.83582570092144e-22	2.41105108721016e-22	150	112.0	120.5	1.83582570092144e-23	9	0.769902287443078	-0.7840542326267	-1	23.2260505237333
AGO1	3.83740479593404e-22	4.31982139885147e-22	60	112.0	110.5	3.83740479593405e-23	34	1.01113077736473	-0.987609231584135	-1	49.8859646749149
RPS10	1.4689531709641298e-22	2.1122903261309099e-22	160	112.2	123.0	1.4689531709641302e-23	37	0.823503720982397	-0.678248391589101	-1	29.7102227256636
SSB	6.83916932631766e-23	1.87851852186319e-22	165	112.5	125.0	6.8391693263177e-24	36	0.788512764909703	0.877698817261143	1	25.8485482126872
SERBP1	4.65717431786032e-23	1.87851852186319e-22	190	112.7	129.0	4.65717431786032e-24	2	0.818282707905661	0.937160811518208	1	29.3258954224461
GRWD1	1.19589201040759e-22	1.93127969761003e-22	125	113.2	121.0	1.19589201040759e-23	35	1.1549823414427	-1.05825629466004	-1	68.5801774220756
KIF1C	6.40519982846273e-23	1.87851852186319e-22	120	113.2	118.0	6.4051998284627504e-24	49	0.91530679647625	-0.766173531554495	-1	40.6590190268867
KHDRBS1	1.0417160271525399e-22	1.8937661523040598e-22	110	113.8	107.5	1.0417160271525501e-23	16	0.692804229124388	-0.715432334746295	-1	14.6560136938877
FMR1	9.87691585861071e-23	1.8937661523040598e-22	180	113.8	119.5	9.87691585861072e-24	39	0.718610072430694	-0.729736387796109	-1	17.6698379478785
HNRNPA0	7.123364068323161e-23	1.87851852186319e-22	120	114.3	118.0	7.1233640683232e-24	46	0.85290277917677	-0.836346592423214	-1	33.3697731098368
UTP18	4.82205276739308e-23	1.87851852186319e-22	125	114.5	124.0	4.82205276739309e-24	8	0.747104842269545	-0.640734541688847	-1	21.0117998092987
SMNDC1	1.21501180756924e-22	1.94052326732941e-22	105	114.5	113.0	1.21501180756924e-23	45	0.732767687529092	-0.727571729510128	-1	19.2815534642054
BOP1	1.00612183796103e-22	1.8937661523040598e-22	145	114.7	127.5	1.00612183796103e-23	53	0.879784293580454	-0.691503477403684	-1	36.4931242498815
G3BP2	6.62622517371215e-23	1.87851852186319e-22	130	115.1	122.0	6.62622517371217e-24	39	0.888228573166196	-0.736634716301097	-1	37.4960843754757
NPM1	4.41195708095003e-22	4.85561756953718e-22	195	115.5	121.5	4.41195708095004e-23	26	0.758189581084821	-0.758496634447686	-1	20.625400845337
APOBEC3C	7.34218357536864e-23	1.87851852186319e-22	175	115.5	125.0	7.342183575368661e-24	30	0.915395021787241	1.08496890258464	1	40.6693243888769
GEMIN5	5.62135999493665e-23	1.87851852186319e-22	145	116.0	122.0	5.62135999493666e-24	31	0.80100875091999	-0.730605347195154	-1	27.3081708290945
FIP1L1	4.84077432261273e-23	1.87851852186319e-22	155	116.2	129.0	4.84077432261275e-24	10	0.75220538548553	-0.694830340383358	-1	21.6075805846522
TIAL1	8.15919790263905e-23	1.87851852186319e-22	145	116.8	121.5	8.15919790263909e-24	74	0.857038566613833	-0.834457638963582	-1	33.8528633497603
TUFM	6.123838225471961e-23	1.87851852186319e-22	100	117.1	98.5	6.12383822547199e-24	44	1.00003576910421	-0.872497836218513	-1	50.555983108866
EIF4B	3.5720678337632e-22	4.06761481648179e-22	190	117.4	114.0	3.5720678337632e-23	13	0.658210940172335	-0.612604401313253	-1	9.44099979732847
HNRNPUL1	6.92534215308813e-22	7.37455353599114e-22	55	118.8	110.5	6.92534215308815e-23	38	0.978239843361807	-0.981123589558054	-1	44.8864259739017
PARN	1.51483842269443e-22	2.1624867338464e-22	115	119.0	114.5	1.51483842269444e-23	36	0.952112977897772	-0.917495293067862	-1	44.645292353709
PRPF6	7.719036775634021e-23	1.87851852186319e-22	125	119.3	122.5	7.719036775634031e-24	75	0.849844336731294	-0.767324168761212	-1	33.0125246493533
SFPQ	9.132213412141321e-23	1.87851852186319e-22	95	120.0	116.0	9.13221341214133e-24	57	0.874132757036845	-0.770905795889234	-1	35.8495898929928
SBDS	1.06704590307487e-22	1.8937661523040598e-22	115	120.3	112.5	1.06704590307488e-23	80	0.886458730624945	-0.76579830896255	-1	37.2726213586432
RRP9	1.19240102603183e-21	1.22985864988623e-21	165	120.5	140.0	1.19240102603183e-22	24	0.95810207087527	1.03935805337069	1	41.4543336789031
PABPC1	5.62901922171483e-23	1.87851852186319e-22	140	121.4	134.5	5.62901922171484e-24	32	0.814753981035849	-0.683365502511038	-1	28.913714299479
PUM1	1.38321735341019e-22	2.0749354730195599e-22	180	121.9	141.5	1.38321735341019e-23	33	1.06406119746403	1.31741092384711	1	57.7875474510724
ADAR	4.8071617441323805e-23	1.87851852186319e-22	170	122.2	140.0	4.80716174413238e-24	6	0.946907785684911	1.06363365421245	1	44.3502458345859
HNRNPAB	5.86191817401003e-23	1.87851852186319e-22	165	123.3	135.0	5.86191817401005e-24	38	0.832479928516102	-0.795408851862977	-1	30.9842346904371
NAA15	1.18448571150321e-22	1.93127969761003e-22	180	123.8	126.0	1.1844857115032101e-23	28	1.16735507474524	-1.13067038410727	-1	70.0246030049899
PSIP1	1.3093833854558e-22	2.04721053122851e-22	115	123.9	119.0	1.3093833854557999e-23	88	0.760214635563792	-0.816989519896817	-1	22.3904759261671
SLTM	6.35978582399967e-23	1.87851852186319e-22	125	125.5	122.5	6.35978582399967e-24	48	0.845131142620367	-0.729806884946062	-1	32.4619890842396
RPS3A	1.11895006981606e-22	1.93127969761003e-22	175	126.1	140.5	1.11895006981606e-23	14	1.17481328805672	-1.13807291458568	-1	70.8952945366437
