	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
RCC2	2.13092919765807e-06	4.42755800056389e-06	105	135.6	129.0	2.13093124104749e-07	79	0.961136611925051	-0.927839748709006	-1	14.5329207640323
QKI	5.68757344332879e-05	5.7755256099782e-05	195	136.1	144.5	5.68771901678508e-06	58	0.84595803873863	0.927711949484298	1	4.14964084555717
XRN2	3.28162080603047e-06	5.01146743246514e-06	115	136.1	133.0	3.28162565210634e-07	111	0.869586831177666	-0.881842569735356	-1	10.9597401420795
RBM34	2.14104573583707e-06	4.42755800056389e-06	175	136.2	138.5	2.14104779867444e-07	80	0.99470339648212	-0.79753729077778	-1	15.7288752427794
PA2G4	2.09458293114739e-05	2.2184561152475e-05	135	136.6	142.5	2.09460267415874e-06	65	0.96464081794668	-0.803197539300692	-1	10.1648061096902
SF3A3	4.36691226061926e-06	5.86243750640806e-06	130	136.9	128.5	4.36692084210821e-07	98	0.950783677462289	-0.909462226365002	-1	13.3926631281535
EXOSC9	2.64173814394411e-06	4.48096002456673e-06	95	138.4	139.5	2.64174128440056e-07	95	0.704670764566933	-0.645362542630749	-1	5.37085494328261
TBRG4	1.8425449541641e-06	4.42755800056389e-06	150	139.0	141.5	1.84254648190324e-07	61	0.950530246988212	-0.918505885875391	-1	14.1550254780578
NSUN2	1.60482897584611e-06	4.42755800056389e-06	150	139.1	148.0	1.60483013481151e-07	46	0.815412481812566	-0.767715713502076	-1	9.34090048656888
EIF2S1	3.20131451603103e-06	4.9830836977448e-06	195	139.8	167.5	3.20131912782696e-07	34	0.700721639419097	-0.686720062337471	-1	5.01518736994391
CPSF6	4.62046432034407e-06	6.06820980738521e-06	195	141.3	136.5	4.62047392728292e-07	26	0.78678987111197	0.876727735740759	1	7.60431498706527
EIF4B	7.74803271270421e-06	9.08549074049244e-06	105	141.6	132.0	7.74805972724168e-07	104	0.74514511984632	-0.829760140926037	-1	5.28926388837276
CSTF2	3.57505513487554e-06	5.25586463858568e-06	165	141.7	142.0	3.57506088634721e-07	111	0.956646034790682	-0.842251088123115	-1	13.8987596414124
PKM	2.23907191549593e-06	4.42755800056389e-06	190	141.9	145.0	2.2390741715485e-07	84	1.12194349890555	0.752396591982579	1	20.2623261639068
SBDS	3.92872083393013e-06	5.48906386017189e-06	125	143.3	135.5	3.92872777962874e-07	104	0.841802680130232	0.766519188019958	1	9.75829391287932
GPKOW	2.2906380798352e-06	4.42755800056389e-06	170	144.9	167.0	2.29064044099889e-07	87	0.936399504863163	-0.913287137214314	-1	13.6515597885235
PSIP1	1.38227241003284e-06	4.42755800056389e-06	145	147.6	156.5	1.38227326983825e-07	21	0.762127314478896	0.722355553397047	1	7.44239768493342
STIP1	2.56946675576941e-06	4.42755800056389e-06	200	147.9	160.0	2.56946972674597e-07	35	0.955947265837009	-0.73000646491398	-1	14.3480290093511
SERBP1	3.04255693510419e-06	4.87303834321565e-06	145	147.9	149.5	3.04256110083093e-07	95	0.88734052974099	-0.827799791463167	-1	11.6577685723726
GTF2F1	8.65825980753807e-06	9.95691425958427e-06	165	150.7	163.5	8.65829354218137e-07	32	1.19820821427089	-0.887531080227835	-1	20.1730629142211
U2AF1	1.5451277859238e-06	4.42755800056389e-06	170	151.5	167.5	1.5451288602638e-07	40	0.876652685816376	-0.963294535566354	-1	11.5228341219822
SRP68	1.30061788667093e-06	4.42755800056389e-06	185	151.6	169.5	1.30061864789466e-07	9	0.695832399234906	-0.602688638188725	-1	5.08036921391892
NUSAP1	4.88965431549901e-06	6.33724934311385e-06	155	155.0	153.0	4.88966507445603e-07	109	1.04708010037033	-1.0703196979559	-1	16.509809063166
