	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
HNRNPA0	4.39330858073061e-05	0.0001096195620673	85	98.4	88.5	4.39339543836866e-06	55	0.757415959876334	-0.773255286222632	-1	14.8499891338914
LIN28B	0.000506528561064	0.0005669666280092	110	98.5	108.5	5.0664405514891e-05	8	0.859573056540254	-0.875029400389091	-1	12.8908898800977
ASCC1	2.2406083507202e-05	0.0001085552611739	130	98.7	106.5	2.24063094250681e-06	5	0.767221579727577	-0.927229116455577	-1	15.2446479508741
CCAR2	2.20482050901097e-05	0.0001085552611739	125	99.0	125.0	2.20484238486708e-06	2	1.01175542968493	1.02003610342583	1	24.3361181621196
CPSF7	3.2967538022775e-05	0.0001085552611739	50	99.2	119.0	3.29680271193406e-06	7	1.09520958905169	-1.2714108309579	-1	27.4388419936867
XPO5	0.0008308968135081	0.0008993773201159	15	100.0	106.0	8.31207652376421e-05	13	0.882695103777477	0.977002017352582	1	11.9360499308543
TAF15	0.0001074269089214	0.0001616480819596	110	102.0	108.0	1.07432102518127e-05	43	1.04879047794383	-0.87479773027907	-1	24.0122237355083
TRA2A	0.0004959527741133	0.0005583011228589	110	103.6	106.5	4.96063495012071e-05	7	0.837117553339688	-0.782957566143353	-1	12.2597219620313
UTP18	5.66356508455128e-05	0.000118693864006	75	103.8	94.0	5.66370943159153e-06	75	0.810049457067544	-0.912455602242239	-1	16.5423493217405
QKI	0.0001063083082295	0.0001616480819596	105	103.9	104.0	1.06313394227404e-05	55	0.679428467496549	-0.685574844022561	-1	10.8787852420811
PTBP1	8.44105801800807e-05	0.0001357558173321	20	104.1	136.5	8.44137866672218e-06	11	0.776270141644797	0.773631507599419	1	14.8741115968575
TARDBP	0.0004834169871392	0.0005473169337151	40	104.2	114.5	4.83522180739761e-05	9	0.807226788840289	-0.77063836941275	-1	11.4131208083555
KIF1C	3.51309608765701e-05	0.0001085552611739	105	104.2	109.5	3.51315162719129e-06	55	0.960053898258242	-1.03826545676234	-1	22.4139182993053
GPKOW	0.0002950843910021	0.0003656077045749	145	104.5	109.5	2.95123581985639e-05	16	0.785454992003406	-0.818648657095238	-1	12.037862579595
RECQL	0.0003360290573651	0.0004061210079812	80	104.6	87.0	3.36079880168876e-05	5	0.955104807707612	-0.952963476470906	-1	17.097376896033
HNRNPM	5.99435432847524e-05	0.0001216446677762	185	105.0	107.5	5.99451602989132e-06	8	1.02540595037116	-1.18849930840336	-1	24.3681647194119
PABPC1	2.72684081777738e-05	0.0001085552611739	20	105.2	120.5	2.72687427882906e-06	17	1.02715207314915	1.00876664828008	1	24.9085465822856
DDX6	3.59399518450409e-05	0.0001085552611739	110	105.4	108.0	3.59405331143342e-06	58	0.987273694328131	-1.09562831169538	-1	23.4259171091581
DDX19B	2.6955387486504e-05	0.0001085552611739	70	105.5	95.5	2.69557144588975e-06	25	1.00697387446144	0.835945629920086	1	24.1583457723858
RBM15	0.000109326900546	0.0001616480819596	65	106.2	95.5	1.09332279485569e-05	62	0.746988673477902	-0.712678012578611	-1	13.2810296114598
EXOSC9	6.93398845257856e-05	0.00012532070873	35	107.0	113.5	6.93420482296195e-06	32	0.684587362761868	-0.70995260841783	-1	11.7719647993006
PUS1	0.000252534562234	0.0003168745780898	135	108.0	124.0	2.52563264992137e-05	41	0.842104694305521	-0.846373636711631	-1	14.3545079479174
GRWD1	2.73609673627818e-05	0.0001085552611739	160	108.8	117.0	2.73613042487604e-06	20	0.973330872384406	-1.0955689389124	-1	22.9075399994689
TIA1	6.36964005750411e-05	0.0001220838239402	195	108.9	129.0	6.3698226402848e-06	2	0.906995089717884	-0.919664412713784	-1	20.0073860879265
CSTF2	0.0002259939082852	0.0002890961034558	75	109.2	104.5	2.26016894536318e-05	66	0.777492270919547	-0.818455149120189	-1	12.5247411734064
HSPD1	3.80210628685722e-05	0.0001085552611739	85	110.4	104.0	3.80217134047869e-06	61	0.854971940517671	-0.867472153342043	-1	18.5070993100145
SMNDC1	3.88273492647209e-05	0.0001085552611739	190	110.8	113.0	3.88280276847766e-06	46	0.658155549079789	-0.762559599837817	-1	11.1897059914435
SF3B4	0.0001099535176781	0.0001616480819596	55	110.9	127.0	1.09958958456251e-05	26	0.76460532548244	-0.756035930522276	-1	13.9074265039868
KRR1	3.75607418972858e-05	0.0001085552611739	190	111.3	110.5	3.7561376776588e-06	36	1.00913242284585	-1.0999151139775	-1	24.238597967899
EIF4G1	7.3809360848613e-05	0.0001298253936355	110	111.5	109.5	7.38118124830047e-06	16	1.05126625347903	-0.833131728976983	-1	25.0389461452822
HNRNPL	0.0001401032097959	0.0001930093169916	165	111.6	125.5	1.4011204358903e-05	18	0.771500242324503	0.793991298375408	1	13.5954121985178
HNRNPK	0.0012723331755647	0.0013548628950608	35	112.6	134.0	0.0001273062237388	33	0.831324214178693	0.894582770427324	1	9.08115398128906
RBFOX2	6.61882931037407e-05	0.0001223548908078	60	113.3	104.5	6.6190264586949e-06	40	0.890088064877892	-0.982697751538052	-1	19.3788507896733
CSTF2T	0.000464224865703	0.0005286260031416	155	114.2	115.5	4.64321871351465e-05	59	1.04577346784748	-0.848328012341428	-1	18.8581946764868
STAU1	4.0325244335795e-05	0.0001085552611739	25	114.2	125.5	4.03259761108829e-06	25	0.823971420210634	-0.869387522796844	-1	17.3545377854906
SUPT6H	7.65139187902507e-05	0.0001322214210673	90	114.7	114.5	7.65165533888171e-06	29	0.930977303371572	-1.02352929355459	-1	20.5850704318169
G3BP2	4.95470124597297e-05	0.0001123015980926	50	115.0	130.0	4.95481172022962e-06	24	0.796600381428001	-0.991794002854378	-1	16.2268341219886
PCBP1	8.27161005715219e-05	0.0001357558173321	140	116.0	127.0	8.27191796118067e-06	27	0.899889659493789	-1.18760671714521	-1	19.3575539009375
SUGP2	0.0138907851312992	0.0139616564840099	195	116.4	114.5	0.0013978386048887	25	1.23785883237608	1.01697799479386	1	8.25569023783802
SLBP	2.82061626002469e-05	0.0001085552611739	135	116.6	125.5	2.82065206210665e-06	31	0.86006517784261	-1.08663063670326	-1	18.6964596600297
BCLAF1	6.44503436029569e-05	0.0001220838239402	105	116.7	108.0	6.44522129103155e-06	63	0.725416224598945	-0.740652458826872	-1	13.3433655282004
FAM120A	8.89453816898363e-05	0.0001413083886524	190	116.8	99.5	8.89489419668115e-06	3	0.880072356883865	0.895500967215205	1	18.4951280098299
CKAP4	0.0001093027794555	0.0001616480819596	130	117.4	129.0	1.09308156021645e-05	36	0.930715259914618	-0.983656816085154	-1	19.813812502835
BOP1	2.80313445317015e-05	0.0001085552611739	155	118.6	120.0	2.80316981283032e-06	30	0.87396793433488	-0.950528461201439	-1	19.2133471851135
AKAP8L	4.50720026774371e-05	0.0001096195620673	105	118.8	118.0	4.50729168719748e-06	66	0.637360259102656	-0.652337264592014	-1	10.3912353626342
EWSR1	0.0026022039224363	0.0026699696495831	145	119.4	118.5	0.0002605256113203	34	0.932699243851078	-0.979348755356121	-1	9.23093225626683
LSM11	6.64567173423593e-05	0.0001223548908078	130	120.2	121.0	6.64587048488885e-06	42	0.976633804207272	-1.03745447657563	-1	22.554333957331
SBDS	0.0001051913636775	0.0001616480819596	30	120.5	110.5	1.05196343359613e-05	30	0.895540866709268	-0.95943556578748	-1	18.5631134145702
TFIP11	6.24624044383069e-05	0.0001220838239402	145	120.5	126.0	6.24641602061504e-06	37	0.857344993187867	-0.81327102789778	-1	18.1852067067982
SMN1	0.0001238038428524	0.0001754630003017	100	120.6	114.0	1.23810740719538e-05	80	0.819809864099012	-0.742604934306246	-1	15.5965166995101
DHX30	0.0001574847124705	0.0002139619886668	145	121.4	125.0	1.5749587422941e-05	65	0.699694298692691	0.775123713236514	1	10.8003588439782
DDX24	3.92954895521421e-05	0.0001085552611739	170	122.2	132.5	3.92961844304103e-06	47	0.778632500913713	-0.780957073518572	-1	15.6688920793034
DDX55	0.0003154032202893	0.0003835458913395	125	123.3	119.5	3.15447994869677e-05	28	1.06121619235308	1.08546114835841	1	20.7194460859808
SRSF5	7.97400613596537e-05	0.0001354206214469	110	123.4	114.5	7.97429228189879e-06	76	0.831211653717027	-0.810913901866744	-1	16.8751040715358
NCBP2	0.0005777750532593	0.0006358753379446	85	123.8	130.5	5.77925329057302e-05	23	0.738352354381253	0.686231691155328	1	8.8552591256931
NAA15	0.0015036889451925	0.0015756740542709	180	124.2	142.5	0.0001504707401438	45	0.861032955853943	0.955067147750618	1	9.35076979102473
METAP2	0.0024601467736147	0.0025374288712152	20	125.0	133.5	0.00024628745697	18	0.772008706031431	-0.767860325885209	-1	5.51277132840418
SRP68	3.04636028575027e-05	0.0001085552611739	90	125.1	126.5	3.04640204795548e-06	39	0.584653973978186	-0.623069324002839	-1	8.4570071007484
LARP7	0.0146767023501473	0.0146767023501473	190	125.5	143.0	0.0014774545576358	24	0.812785117010044	-0.765541005990536	-1	0.695209866739864
PABPC4	4.88048810533351e-05	0.0001123015980926	85	126.0	141.5	4.88059529488538e-06	60	0.857965744078846	-0.880906412656003	-1	18.4998433891262
SSRP1	0.00034108048812	0.0004072294312706	155	126.4	152.0	3.41132850586372e-05	31	1.02355469445924	-1.10827788172063	-1	19.263061739867
TUFM	2.4514440077726e-05	0.0001085552611739	180	128.6	145.0	2.45147105129222e-06	16	1.12980580985596	-1.14611766760769	-1	28.7250872759596
PSIP1	0.0002080643760772	0.0002714482257432	50	129.9	130.5	2.08083859497818e-05	49	0.533640625272317	-0.545974600792923	-1	4.56836878245965
PARN	0.0004336062041029	0.0004995346327969	135	130.3	133.0	4.33690833797716e-05	51	1.0880213703054	-1.03408320922248	-1	20.4073633034845
DAZAP1	8.47319397552572e-05	0.0001357558173321	165	130.6	133.5	8.47351707043695e-06	14	0.98935438222132	-1.17481153989882	-1	22.6022674346805
SART3	4.62722153445368e-05	0.0001111661758887	160	131.1	141.0	4.62731788758347e-06	26	1.02990759498982	0.899043102085019	1	24.911297804519
YBX3	2.57221723265092e-05	0.0001085552611739	185	131.7	156.0	2.57224700649266e-06	19	1.05087741136578	-1.23742820581485	-1	25.7906257123766
NUSAP1	0.0003036755317086	0.0003715781350721	50	131.8	146.5	3.03717038164602e-05	47	0.746964820803986	-0.84138653952685	-1	10.7479280025427
NONO	0.000240875109399	0.0003061444938813	155	132.2	138.5	2.40901222751084e-05	56	0.826811221913911	-0.798889413545951	-1	13.9686507280571
STIP1	2.60804552333003e-05	0.0001085552611739	155	132.4	157.5	2.60807613239215e-06	6	0.845163114025602	-0.896455178963843	-1	18.1424191077624
PA2G4	0.0009093858256316	0.0009789563259531	145	133.4	143.5	9.09758182267173e-05	53	0.968503436591348	0.789317527377338	1	14.0528735575963
DDX1	5.39883051711262e-05	0.0001156053925946	165	134.2	140.0	5.39896168476688e-06	61	0.71514224303665	-0.68797498307837	-1	13.1251234407524
ESF1	6.33980279396759e-05	0.0001220838239402	170	134.3	143.5	6.33998367017779e-06	36	0.953462582903433	0.889892637090791	1	21.7127625905531
KHDRBS1	5.56882722443462e-05	0.0001179633293778	170	135.7	140.0	5.5689667826217e-06	55	0.879533654465847	-1.11036244090521	-1	19.1225343215321
SRFBP1	0.0003382897224738	0.0004063602154107	130	137.1	140.5	3.38341231481392e-05	57	0.917582976686347	-0.725911761436137	-1	15.901795117757
PUM1	9.70923721635074e-05	0.0001518031533032	190	138.8	144.0	9.70966145423109e-06	31	0.959694528897746	-1.14261299584072	-1	21.0898466397232
SND1	0.0001786304389666	0.0002377715978137	115	139.4	152.0	1.78644799566529e-05	84	1.01982356939917	-1.33274336535128	-1	21.3793873501163
ILF2	0.0027689984256493	0.0028263869940566	185	139.6	161.5	0.0002772454797151	45	1.10615047758981	-1.19384964371827	-1	13.1606734716668
G3BP1	2.60662723970956e-05	0.0001085552611739	190	140.8	164.5	2.60665781548938e-06	20	0.840873165359562	-1.0048352050118	-1	17.9829240500766
PKM	7.12241060335725e-05	0.0001275558989873	130	141.4	141.5	7.12263889295276e-06	72	0.762102645579322	0.726355509114318	1	14.5536723200026
GTF2F1	0.0001250368278419	0.0001759446791775	200	141.8	143.0	1.25043863792856e-05	19	1.38766130368136	-0.743491794917748	-1	35.5825010721143
FKBP4	0.0015584411809848	0.0016244069452593	160	142.3	149.5	0.0001559535193455	22	1.13216441224966	-0.97283231929028	-1	16.3364471905678
DNAJC2	0.0013811119647531	0.0014549682195527	175	142.4	157.0	0.0001381971077934	21	0.993067236839284	-1.15748488486533	-1	13.1433787385817
CCAR1	0.0055066634566214	0.0055631420561765	190	143.8	175.5	0.000552035674095	40	0.62803031843074	-0.638376305138343	-1	0.0
FASTKD2	0.0001277431996183	0.0001772211994705	140	144.0	143.5	1.27750543458759e-05	111	0.943988336074405	-1.11630857227591	-1	19.932130850027
IGF2BP2	4.98836100418547e-05	0.0001123015980926	170	145.4	167.0	4.98847298457807e-06	85	0.699396784589791	-0.864414355890002	-1	12.6263554990643
RBM34	0.0001124233704682	0.0001628485586929	135	146.7	143.5	1.12429058429614e-05	74	0.703197477927495	-0.866264179475513	-1	11.7027506655306
RCC2	0.0001271472095339	0.0001772211994705	140	147.6	138.5	1.27154485005662e-05	85	0.727617213194082	-0.782753845405928	-1	12.319659413676
LARP4	0.000244773341776	0.0003091047969864	195	148.4	153.5	2.44800307251418e-05	70	0.868367277313459	-0.972639898816282	-1	15.304135520666
