	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
CCAR1	4.10319418170166e-09	5.083831784875641e-09	180	120.8	123.0	4.10319418927794e-10	42	0.53207587588473	-0.535604895162675	-1	18.6167301181921
AKAP1	9.3134474841298e-10	2.6556333518435603e-09	190	121.5	141.0	9.3134474880331e-11	22	0.56915258097471	-0.481577445115292	-1	26.7633674029324
RRP9	7.460300279323901e-10	2.6556333518435603e-09	195	121.9	127.0	7.46030028182841e-11	23	0.641544711689052	-0.595945090228746	-1	37.5697520439543
YBX3	1.5639207723777702e-09	2.90653200149454e-09	200	122.1	121.0	1.5639207734784e-10	32	0.737849026514125	0.911874938504993	1	51.4420927942652
MTPAP	2.5748568965288302e-09	3.90189852781677e-09	165	122.5	114.5	2.57485689951228e-10	37	0.762430151250842	-0.546403737686508	-1	53.3972729739509
RBFOX2	7.644952249574601e-10	2.6556333518435603e-09	145	123.2	142.0	7.644952252204639e-11	17	0.641204939137071	-0.569789212762081	-1	37.5190322647333
SSB	8.31422329501939e-10	2.6556333518435603e-09	85	123.8	131.5	8.314223298130069e-11	40	0.546274079898118	-0.54437878959279	-1	23.3481635651111
RPS10	7.72593298604004e-10	2.6556333518435603e-09	135	124.0	132.5	7.72593298872607e-11	27	0.579896438920481	-0.558131905594222	-1	28.3671641187473
DDX52	1.0527839741114e-09	2.6556333518435603e-09	185	124.0	151.0	1.05278397461016e-10	7	0.745056536704411	0.831386062859738	1	53.0215502569955
ZRANB2	1.1309731258124e-09	2.6556333518435603e-09	140	124.3	123.0	1.130973126388e-10	82	0.566045425524242	-0.538647695181149	-1	26.2995446558207
SUPT6H	1.41372110232494e-09	2.73042212900013e-09	190	124.6	119.0	1.41372110322431e-10	49	0.686092895447686	0.729876500723461	1	44.0756657493211
NUSAP1	1.82829791693431e-09	3.18738663394743e-09	90	125.4	125.0	1.82829791843851e-10	39	0.562153434746254	-0.534111766335077	-1	24.9429288583808
PABPC4	3.1884091549127703e-09	4.3711656571233e-09	80	125.7	116.0	3.18840915948744e-10	76	0.592840923735839	-0.512724378733525	-1	28.0660597613652
SART3	6.793938708713691e-10	2.6556333518435603e-09	175	125.9	147.0	6.793938710790779e-11	12	0.718329408486289	0.753379301263735	1	49.0318399801337
CCAR2	9.6942266762977e-10	2.6556333518435603e-09	145	126.5	140.0	9.694226680526709e-11	14	0.644506919090645	-0.551678811579513	-1	38.0119375723014
STIP1	1.01673260544258e-09	2.6556333518435603e-09	150	126.8	148.0	1.01673260590777e-10	3	0.740263504280758	-0.534277869316858	-1	52.30606707594
ILF3	2.5719270535241903e-09	3.90189852781677e-09	145	129.3	137.5	2.57192705650085e-10	50	0.544949513634247	-0.520266749423281	-1	21.5653041775023
HNRNPUL1	3.6954364124225102e-09	4.78948008715285e-09	100	129.6	130.5	3.69543641856781e-10	23	0.705531744605809	-0.582733275108119	-1	43.9760787402416
TBRG4	7.168658162360101e-10	2.6556333518435603e-09	155	130.2	148.0	7.16865816467262e-11	17	0.608515710549778	-0.554710698580331	-1	32.6393253926356
EXOSC9	8.64590384138131e-08	8.64590384138131e-08	70	130.6	155.0	8.645904177763772e-09	44	0.559499440875033	-0.494993030254708	-1	10.5908297419526
DDX55	7.74653111860837e-10	2.6556333518435603e-09	185	130.9	149.5	7.746531121308759e-11	29	0.572434603029232	-0.640726798123343	-1	27.2532934815201
TAF15	9.13073059728845e-10	2.6556333518435603e-09	180	131.8	152.0	9.130730601040109e-11	43	0.746608763531246	0.900495882665886	1	53.2532599742724
RECQL	5.4739756798173e-09	6.5355952056000506e-09	95	132.2	134.0	5.47397569330129e-10	85	0.686382871321467	-0.616209995914167	-1	39.5901044586643
AATF	1.8503077531940602e-09	3.1974616436774503e-09	130	132.5	127.0	1.8503077547347e-10	74	0.540788441253106	-0.482943505019455	-1	21.7702316530539
