	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
SRSF5	9.658437600115689e-43	1.18919512951424e-42	105	136.3	135.0	9.65843760011558e-44	83	0.529455199639613	-0.555820659950847	-1	11.2481849994563
DNAJC2	1.1966546721918699e-42	1.3867115907164599e-42	195	136.5	174.0	1.19665467219186e-43	6	1.00762071587722	-1.15549252661595	-1	96.8274530895669
CPSF6	5.245136270235679e-43	1.1087359200975299e-42	130	137.2	141.0	5.245136270235661e-44	43	0.588513114566926	-0.622007848589692	-1	21.930292757423
NUSAP1	5.15131830262135e-43	1.1087359200975299e-42	165	137.7	160.0	5.151318302621331e-44	25	0.651471834928711	-0.65574401521157	-1	33.2444034295376
SBDS	5.08185522791819e-43	1.1087359200975299e-42	175	138.5	154.5	5.081855227918161e-44	56	0.630771783811322	-0.701462415452575	-1	29.5244633177508
PKM	4.39170191184624e-43	1.1087359200975299e-42	180	140.0	140.0	4.39170191184622e-44	14	0.646818912098967	-0.681318186181875	-1	32.4082415199242
LSM11	5.7167657007958294e-43	1.1087359200975299e-42	175	141.4	167.0	5.716765700795811e-44	69	0.699977067388084	-0.896210960307384	-1	41.9611239262125
CSTF2	4.73995292693542e-43	1.1087359200975299e-42	105	141.6	162.0	4.73995292693538e-44	29	0.703543185689044	-0.759368507686799	-1	42.6019796630361
SF3A3	6.57149583137511e-43	1.1087359200975299e-42	140	142.1	139.5	6.57149583137509e-44	84	0.518045977657928	-0.504718266161376	-1	9.26686851445839
PSIP1	4.9426740039574495e-43	1.1087359200975299e-42	145	143.1	156.0	4.94267400395739e-44	48	0.667349240584593	-0.692179673383347	-1	36.097681319311
KRR1	6.535370658800049e-43	1.1087359200975299e-42	160	144.4	156.5	6.53537065879998e-44	71	0.770830121295382	0.656443608818291	1	54.6939000810954
DDX52	8.55308309743409e-43	1.1603998226888599e-42	145	144.7	145.5	8.55308309743406e-44	57	0.720231274387887	0.697724390395116	1	45.5399235316145
BUD13	1.1435761008526299e-42	1.3354265532516798e-42	120	145.2	147.5	1.14357610085262e-43	98	0.617156354599706	-0.698266492794811	-1	26.8641071345044
PABPC4	7.00524903326275e-43	1.1087359200975299e-42	125	145.9	141.5	7.005249033262751e-44	105	0.55608506009834	-0.549845163281478	-1	16.1027505991544
CCAR2	8.91855214207731e-43	1.1603998226888599e-42	185	146.8	171.0	8.91855214207728e-44	23	0.867081711044383	-0.945466168750753	-1	71.9175053249408
RBM34	8.43613556538504e-43	1.1603998226888599e-42	135	147.0	145.5	8.43613556538494e-44	94	0.68853285724067	-0.707836259062884	-1	39.8461877140254
KHDRBS1	6.99055881514819e-43	1.1087359200975299e-42	200	147.2	161.5	6.99055881514819e-44	42	0.573903440429338	0.434329698690243	1	19.3048348522059
FMR1	1.8785073365477498e-42	2.0445632337011397e-42	190	150.5	158.5	1.87850733654773e-43	99	0.596014635309418	-0.659317517691003	-1	22.5998733178049
SMN1	4.67755098109209e-43	1.1087359200975299e-42	180	150.9	162.0	4.67755098109207e-44	24	0.578402195790375	-0.60251042406942	-1	20.1132918181203
XPO5	6.37821478714376e-43	1.1087359200975299e-42	155	152.0	155.0	6.378214787143731e-44	108	0.579341837841922	-0.619375089863489	-1	20.2821518918683
PA2G4	5.39732533201551e-43	1.1087359200975299e-42	195	152.1	155.0	5.39732533201548e-44	78	0.716838858209941	-0.774339620346792	-1	44.9913025320079
AGO1	7.093464586611459e-43	1.1087359200975299e-42	185	152.7	167.0	7.0934645866114e-44	47	0.86746668075314	-0.84081047364582	-1	72.0601477175566
RBFOX2	9.5825980059237e-43	1.18727786614275e-42	165	153.3	161.5	9.58259800592366e-44	79	0.722012577658095	-0.780082674013206	-1	45.8291299043987
NAA15	5.74577750790167e-42	5.864860979568029e-42	175	153.9	173.5	5.7457775079016795e-43	82	0.664544053500127	0.706419287758992	1	33.5343674982236
LARP7	3.5274924223639594e-42	3.6963617404558494e-42	130	154.0	151.0	3.5274924223639597e-43	93	0.619547542956935	0.486095899626215	1	26.1196422163717
PES1	5.17990616708903e-43	1.1087359200975299e-42	190	154.8	167.5	5.17990616708898e-44	64	0.597659172178927	-0.66985709900005	-1	23.5739015766791
HNRNPUL1	6.0782426075604796e-43	1.1087359200975299e-42	185	154.9	177.0	6.078242607560431e-44	38	0.750157276854783	-0.642940892878048	-1	50.9788491943509
UBE2L3	6.75193341744387e-41	6.75193341744387e-41	200	162.0	178.0	6.75193341744389e-42	96	0.560283087542127	-0.527068380552424	-1	12.5743682460681
EXOSC9	1.32381993815314e-42	1.4889815113733898e-42	155	163.5	160.5	1.3238199381531299e-43	145	0.607872149158549	-0.615032578683453	-1	25.0758099041629
FUBP3	9.22948183047223e-43	1.1655178978224498e-42	200	166.8	182.0	9.22948183047214e-44	111	0.692243896433105	0.547213211422101	1	40.5071051557299
IGF2BP2	7.68141933232306e-43	1.1377741417049898e-42	180	167.0	177.0	7.681419332322991e-44	120	0.515683508252069	-0.526548090696452	-1	8.81751606575881
CCAR1	4.7624681187831794e-42	4.9120744471219196e-42	165	167.8	163.0	4.76246811878313e-43	146	0.557695344144443	-0.538659259143907	-1	14.8479346426747
TRA2A	2.0932399746082297e-42	2.22901770269092e-42	170	174.0	178.0	2.0932399746082098e-43	129	0.524311667502692	-0.55967833921738	-1	9.71174125284233
