NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
ASCC1	191	0.350785340314136	0.246073298429319	Down	0.276	0.464953389830508	0.001	0.0023452380952381	0.767221579727577	-0.927229116455577	-1	12.851409714087
FAM120A	197	0.0862944162436548	0.461928934010152	Up	0.264	0.464953389830508	0.11	0.11	0.880072356883865	0.895500967215205	1	14.8168103301632
FMR1	187	0.304812834224599	0.251336898395722	Down	0.262	0.464953389830508	0.012	0.0130953757225434	0.697135666149897	-0.711113611928916	-1	11.6307987338625
PSIP1	187	0.401069518716578	0.192513368983957	Down	0.265	0.464953389830508	0.01	0.0113424242424242	0.533640625272317	-0.545974600792923	-1	8.78338144384958
KIF1C	195	0.328205128205128	0.205128205128205	Down	0.27	0.464953389830508	0.001	0.0023452380952381	0.960053898258242	-1.03826545676234	-1	16.209762817094
EWSR1	192	0.385416666666667	0.151041666666667	Down	0.258	0.464953389830508	0.018	0.0190469613259668	0.932699243851078	-0.979348755356121	-1	15.7333562208866
NUSAP1	195	0.405128205128205	0.179487179487179	Down	0.275	0.464953389830508	0.015	0.0160477528089888	0.746964820803986	-0.84138653952685	-1	12.4986195298156
NAA15	194	0.206185567010309	0.412371134020619	Up	0.277	0.464953389830508	0.03	0.0302682291666667	0.861032955853943	0.955067147750618	1	14.4852215590721
DDX3X	188	0.23936170212766	0.367021276595745	Up	0.284	0.46645041322314	0.003	0.00487623762376238	0.908448329303795	0.941533549292427	1	15.2445928089954
SUGP2	189	0.132275132275132	0.375661375661376	Up	0.287	0.46645041322314	0.083	0.083	1.23785883237608	1.01697799479386	1	20.9574999993446
SMNDC1	196	0.341836734693878	0.25	Down	0.286	0.46645041322314	0.001	0.0023452380952381	0.658155549079789	-0.762559599837817	-1	10.9038100759067
EIF2S2	185	0.378378378378378	0.248648648648649	Down	0.299	0.470436	0.007	0.00836928104575164	0.757134147426582	-0.702084418520072	-1	12.4738801364365
TRIM56	195	0.379487179487179	0.184615384615385	Down	0.296	0.470436	0.006	0.00732094594594595	0.772617795859379	-0.694160996689915	-1	12.739414336908
