NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
LARP7	194	0.623711340206186	0.0927835051546392	Down	0.129	0.496362745098039	0.113	0.113	0.802448692893645	-0.831654736763919	-1	78.2594684077495
STAU1	194	0.391752577319588	0.242268041237113	Down	0.068	0.496362745098039	0.009	0.0232569444444444	0.692787306379874	-0.549778077735516	-1	67.4178491393338
KIF1C	195	0.430769230769231	0.235897435897436	Down	0.078	0.496362745098039	0.008	0.0232569444444444	0.75536565106553	-0.665319892619929	-1	73.6046265374507
GRSF1	192	0.15625	0.447916666666667	Up	0.064	0.496362745098039	0.01	0.0236898734177215	0.731611471119305	0.784679850011465	1	71.256181171241
DDX55	192	0.453125	0.166666666666667	Down	0.116	0.496362745098039	0.018	0.0265192307692308	0.90615968421446	-0.863645743289484	-1	88.5128047697609
PES1	194	0.206185567010309	0.391752577319588	Up	0.102	0.496362745098039	0.016	0.0252355371900826	0.576389390886152	0.573911971161439	1	55.9102262326903
DAZAP1	190	0.426315789473684	0.226315789473684	Down	0.112	0.496362745098039	0.028	0.0336490683229814	0.887958105255625	-0.799346925282323	-1	86.7133145806513
NAA15	194	0.618556701030928	0.0927835051546392	Down	0.083	0.496362745098039	0.063	0.0651455026455026	0.952050821411649	-0.994878015993814	-1	93.0498095724868
METAP2	192	0.119791666666667	0.520833333333333	Up	0.126	0.496362745098039	0.022	0.0284261744966443	0.676763424221749	0.710394857537616	1	65.8336558778476
SART3	187	0.197860962566845	0.358288770053476	Up	0.089	0.496362745098039	0.007	0.0232569444444444	0.948400592937614	0.896617395418412	1	92.6889315221874
APOBEC3C	183	0.245901639344262	0.387978142076503	Up	0.053	0.496362745098039	0.003	0.0229833333333333	0.732892667316732	0.77991820539301	1	71.3828460058034
ILF2	190	0.5	0.189473684210526	Down	0.151	0.511181034482759	0.046	0.0497972222222222	0.836938733458664	-0.784343923569875	-1	78.1943200723498
QKI	196	0.137755102040816	0.535714285714286	Up	0.137	0.511181034482759	0.02	0.0274392857142857	0.506712230723259	0.520393282983779	1	46.9177468209545
PPIG	199	0.150753768844221	0.50251256281407	Up	0.139	0.511181034482759	0.016	0.0252355371900826	0.633700229473323	0.625744549344214	1	58.9450959648143
SUPT6H	192	0.364583333333333	0.208333333333333	Down	0.149	0.511181034482759	0.032	0.0365029411764706	0.876527045987323	-0.748270568691705	-1	81.9438275965652
