NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
RTF1	191	Down	0.216730344915953	0.284639186322951	0.772971179446357	-0.853438833642981	-1	4.41321166863099
RBM34	191	Down	0.228727494812621	0.298406069391301	0.68853285724067	-0.707836259062884	-1	3.76691788127858
CIRBP	197	Down	0.23922074155553	0.3010956862735	0.559515956280933	-0.587194531439237	-1	3.0160963129538
STIP1	190	Down	0.233448864181967	0.3010956862735	0.961299037396178	-1.0077114530343	-1	5.26459461496881
FUS	189	Down	0.235990638850166	0.3010956862735	0.669474716950067	-0.780828700301561	-1	3.63145842817762
NCBP2	188	Down	0.23995950631949	0.3010956862735	0.738569840192002	-0.822727319145413	-1	4.01813540535588
XPO5	191	Down	0.236976475751253	0.3010956862735	0.579341837841922	-0.619375089863489	-1	3.12704787642456
SF1	188	Down	0.23578479304999	0.3010956862735	0.927310788905307	-1.07207783025491	-1	5.07438620995569
GEMIN5	193	Down	0.249429185948161	0.310997149568277	0.559255145956393	-0.689279153253307	-1	2.93027194873675
ZRANB2	184	Up	0.282410615091034	0.3499049759304	0.69775876624015	0.638161646230513	1	3.30100947264735
RBM25	192	Down	0.291331515536691	0.358701928504551	0.552568234001017	-0.573211764189329	-1	2.52620788618792
EXOSC9	193	Down	0.29692508913919	0.363318276772798	0.607872149158549	-0.615032578683453	-1	2.75432513847526
STAU1	194	Down	0.332926603467493	0.404855190636395	0.681249075193187	-0.694521610712471	-1	2.75687555312973
RBM39	192	Down	0.348136554331386	0.420753995112166	0.657747335060545	-0.652131511858119	-1	2.53967445166725
EWSR1	192	Down	0.370051551816475	0.444513144560034	0.640871601828372	-0.642031532970024	-1	2.30742910676663
CCAR1	190	Down	0.380645499443481	0.454467656911307	0.557695344144443	-0.538659259143907	-1	1.93542965339728
PCBP2	197	Down	0.385182310418545	0.457113946701526	0.624004340683541	-0.682397120974219	-1	2.16234542591545
TRA2A	197	Down	0.398933031391658	0.470597647809321	0.524311667502692	-0.55967833921738	-1	1.72742717515761
