NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
ABCF1	198	Down	0.380055205208576	0.499139169507263	1.06667037165828	1.24075155123205	1	4.46925899120696
BOP1	190	Down	0.396395920238048	0.517152293290698	0.87396793433488	-0.950528461201439	-1	3.42593632848613
XRCC6	190	Up	0.399982228123307	0.518398019344023	1.0174490882248	0.993243225162062	1	4.0091158419289
SSRP1	196	Up	0.434671564809665	0.559675152075189	1.02355469445924	-1.10827788172063	-1	3.53831103848773
STIP1	190	Down	0.452063242386867	0.5782886931832	0.845163114025602	-0.896455178963843	-1	2.70821390112275
RPS19	184	Up	0.466236059200249	0.592570991370639	1.01288345295227	1.06573130294746	1	3.13307662566905
PES1	194	Down	0.508648868970658	0.6423322255591	0.65908472022221	-0.746756468895956	-1	1.62534721135603
SART3	187	Down	0.520868869140478	0.653574313507479	1.02990759498982	0.899043102085019	1	2.55090022844419
SRSF1	194	Up	0.5447706685394	0.676956753353105	0.793221670015017	0.74438893522309	1	1.73753444404593
FMR1	187	Down	0.547312982680944	0.676956753353105	0.697135666149897	-0.711113611928916	-1	1.50033138958163
TFIP11	196	Down	0.549812591555821	0.676956753353105	0.857344993187867	-0.81327102789778	-1	1.89583271337924
DAZAP1	190	Up	0.588596461348027	0.720208092456903	0.98935438222132	-1.17481153989882	-1	1.83401132506457
DNAJC21	190	Up	0.612789030254004	0.740610054969563	1.1928046655183	1.16462248942489	1	2.04570088324131
GRWD1	194	Down	0.611225371133287	0.740610054969563	0.973330872384406	-1.0955689389124	-1	1.62869569625909
HNRNPUL1	184	Down	0.629656799154244	0.752790056137022	0.993715201776475	-1.11558405649188	-1	1.56486034302748
NOL12	196	Down	0.634330707201755	0.752790056137022	1.07852979747579	-1.00117616182046	-1	1.71725588416456
HNRNPL	189	Down	0.632198021806272	0.752790056137022	0.771500242324503	0.793991298375408	1	1.16558273384691
ESF1	187	Up	0.642532591889967	0.754002756681521	0.953462582903433	0.889892637090791	1	1.4828231009871
KHSRP	195	Up	0.643007427017744	0.754002756681521	1.03515728480815	-1.16664779929109	-1	1.62878073161414
G3BP1	197	Down	0.665407221389631	0.775652204815132	0.840873165359562	-1.0048352050118	-1	1.13105135480769
DDX24	197	Down	0.676235156780372	0.783637211092549	0.778632500913713	-0.780957073518572	-1	0.980539455823922
ILF2	190	Up	0.694942160353463	0.791171693532335	1.10615047758981	-1.19384964371827	-1	1.4188270074542
G3BP2	194	Down	0.71303142636853	0.791171693532335	0.796600381428001	-0.991794002854378	-1	0.960027017886743
ILF3	194	Up	0.701791203289483	0.791171693532335	0.860036983997846	-0.944987559859672	-1	1.05404964284508
NPM1	188	Up	0.711988968951869	0.791171693532335	0.83467674878875	-0.941436484860638	-1	1.01646194446078
UBE2L3	194	Down	0.696176806964017	0.791171693532335	0.814267864885859	-0.721723569462742	-1	0.986212896446159
FUBP3	187	Down	0.721540948235896	0.791171693532335	1.04178705549832	-0.945356651725327	-1	1.32343069600008
PTBP1	194	Up	0.715517153285693	0.791171693532335	0.776270141644797	0.773631507599419	1	0.929894532334026
RBM34	191	Down	0.718624071478987	0.791171693532335	0.703197477927495	-0.866264179475513	-1	0.821589809554556
TUFM	194	Down	0.722897994090459	0.791171693532335	1.12980580985596	-1.14611766760769	-1	1.45388778220921
APOBEC3C	183	Up	0.689861782120496	0.791171693532335	1.11144595021118	1.0678349963424	1	1.42667569758081
AGO1	182	Up	0.736364220057076	0.801457189785878	1.05129186110648	0.711778650071648	1	1.25159694452748
HNRNPM	179	Down	0.741762482839615	0.80289675340332	1.02540595037116	-1.18849930840336	-1	1.203702145883
YBX3	188	Up	0.758294996153417	0.813037512823382	1.05087741136578	-1.23742820581485	-1	1.15562619152779
